epoch,lr-AdamW,step,train_acc,train_f1_macro,train_loss,val_acc,val_f1_macro,val_f1_weighted,val_loss
,0.003967605077052989,0,,,,,,,
0,,44,,,,0.1944444477558136,0.20632034540176392,0.1412506103515625,0.10207933932542801
0,,44,0.5041666626930237,0.4078686833381653,0.16172145307064056,,,,
,0.003967605077052989,45,,,,,,,
1,,89,,,,0.25555557012557983,0.2686000168323517,0.22383955121040344,0.08258099108934402
1,,89,0.6180555820465088,0.5233802795410156,0.07728131860494614,,,,
,0.003967605077052989,90,,,,,,,
2,,134,,,,0.38333332538604736,0.37515875697135925,0.4145107865333557,0.061352189630270004
2,,134,0.6430555582046509,0.5686149597167969,0.05359335616230965,,,,
,0.003967605077052989,135,,,,,,,
3,,179,,,,0.30000001192092896,0.31240952014923096,0.2951396405696869,0.07126554101705551
3,,179,0.6805555820465088,0.6396446228027344,0.04890948906540871,,,,
,0.003967605077052989,180,,,,,,,
4,,224,,,,0.4722222089767456,0.4555446207523346,0.524163007736206,0.05673426389694214
4,,224,0.6736111044883728,0.6344025135040283,0.05040527507662773,,,,
,0.003967605077052989,225,,,,,,,
5,,269,,,,0.5388888716697693,0.4956135153770447,0.5938020944595337,0.04959069937467575
5,,269,0.7666666507720947,0.7379195690155029,0.0330992117524147,,,,
,0.003967605077052989,270,,,,,,,
6,,314,,,,0.4277777671813965,0.42776063084602356,0.4591134190559387,0.05263412743806839
6,,314,0.75,0.7112720012664795,0.03413856774568558,,,,
,0.003967605077052989,315,,,,,,,
7,,359,,,,0.44999998807907104,0.43924206495285034,0.47774258255958557,0.0524468831717968
7,,359,0.7708333134651184,0.7401915788650513,0.028374221175909042,,,,
,0.003967605077052989,360,,,,,,,
8,,404,,,,0.4722222089767456,0.4605655372142792,0.5146273970603943,0.052254818379879
8,,404,0.7986111044883728,0.7760546803474426,0.026592431589961052,,,,
,0.003967605077052989,405,,,,,,,
9,,449,,,,0.5388888716697693,0.49661052227020264,0.5959430932998657,0.04862653464078903
9,,449,0.7708333134651184,0.7588226795196533,0.02523626573383808,,,,
,0.003967605077052989,450,,,,,,,
10,,494,,,,0.5555555820465088,0.5174081921577454,0.6093416213989258,0.051703453063964844
10,,494,0.8125,0.7923790216445923,0.02514219470322132,,,,
,0.003967605077052989,495,,,,,,,
11,,539,,,,0.5166666507720947,0.4894286096096039,0.5694367289543152,0.05762121453881264
11,,539,0.8013888597488403,0.7798942923545837,0.02490062639117241,,,,
,0.003967605077052989,540,,,,,,,
12,,584,,,,0.5722222328186035,0.5180668830871582,0.6178411841392517,0.053201865404844284
12,,584,0.7875000238418579,0.7663900852203369,0.024067867547273636,,,,
,0.003967605077052989,585,,,,,,,
13,,629,,,,0.5388888716697693,0.48786404728889465,0.5933749675750732,0.05191493034362793
13,,629,0.8069444298744202,0.791561484336853,0.020593885332345963,,,,
,0.003967605077052989,630,,,,,,,
14,,674,,,,0.6388888955116272,0.5545749068260193,0.6916680335998535,0.049794696271419525
14,,674,0.8138889074325562,0.7891973257064819,0.019122770056128502,,,,
,0.003967605077052989,675,,,,,,,
15,,719,,,,0.5666666626930237,0.5126627683639526,0.6181620955467224,0.05272287875413895
15,,719,0.824999988079071,0.7994744777679443,0.01970277540385723,,,,
,0.003967605077052989,720,,,,,,,
16,,764,,,,0.6555555462837219,0.5675122737884521,0.7060104608535767,0.0465812161564827
16,,764,0.8430555462837219,0.8382145166397095,0.016902368515729904,,,,
,0.003967605077052989,765,,,,,,,
17,,809,,,,0.6277777552604675,0.5558578968048096,0.6757044792175293,0.04780042544007301
17,,809,0.8263888955116272,0.8100378513336182,0.01966225728392601,,,,
,0.003967605077052989,810,,,,,,,
18,,854,,,,0.6555555462837219,0.5681372880935669,0.704901933670044,0.04679955542087555
18,,854,0.8569444417953491,0.8492730855941772,0.017653560265898705,,,,
,0.003967605077052989,855,,,,,,,
19,,899,,,,0.6499999761581421,0.5702575445175171,0.6989882588386536,0.05017026886343956
19,,899,0.8527777791023254,0.8452492952346802,0.015967465937137604,,,,
,0.003967605077052989,900,,,,,,,
20,,944,,,,0.5888888835906982,0.544221043586731,0.6329413056373596,0.056649718433618546
20,,944,0.8416666388511658,0.83186936378479,0.016862694174051285,,,,
,0.003967605077052989,945,,,,,,,
21,,989,,,,0.7722222208976746,0.6494982838630676,0.8015387058258057,0.04279138892889023
21,,989,0.8583333492279053,0.8524565696716309,0.0153144346550107,,,,
,0.003967605077052989,990,,,,,,,
22,,1034,,,,0.6777777671813965,0.5911014080047607,0.7214031219482422,0.04742230847477913
22,,1034,0.8527777791023254,0.8512635231018066,0.014611206017434597,,,,
,0.003967605077052989,1035,,,,,,,
23,,1079,,,,0.7388888597488403,0.6312172412872314,0.7732818722724915,0.04406541585922241
23,,1079,0.875,0.8740552663803101,0.01519171241670847,,,,
,0.003967605077052989,1080,,,,,,,
24,,1124,,,,0.6944444179534912,0.5928326845169067,0.7355188131332397,0.04587448388338089
24,,1124,0.8541666865348816,0.8365310430526733,0.016510305926203728,,,,
,0.003967605077052989,1125,,,,,,,
25,,1169,,,,0.6499999761581421,0.5778195858001709,0.6947686672210693,0.054535336792469025
25,,1169,0.8902778029441833,0.887131929397583,0.01291667204350233,,,,
,0.003967605077052989,1170,,,,,,,
26,,1214,,,,0.7388888597488403,0.6312172412872314,0.7732818722724915,0.051496680825948715
26,,1214,0.8847222328186035,0.8795380592346191,0.011470215395092964,,,,
,0.003967605077052989,1215,,,,,,,
27,,1259,,,,0.6888889074325562,0.6114713549613953,0.7275552749633789,0.06034279242157936
27,,1259,0.8805555701255798,0.864086389541626,0.013218888081610203,,,,
,0.0019838025385264945,1260,,,,,,,
28,,1304,,,,0.7055555582046509,0.6129802465438843,0.7441302537918091,0.05218735337257385
28,,1304,0.8791666626930237,0.8744896054267883,0.01358942873775959,,,,
,0.0019838025385264945,1305,,,,,,,
29,,1349,,,,0.7388888597488403,0.6388115882873535,0.7721966505050659,0.04678412154316902
29,,1349,0.8930555582046509,0.8907360434532166,0.01129098329693079,,,,
,0.0019838025385264945,1350,,,,,,,
30,,1394,,,,0.6666666865348816,0.5881030559539795,0.710396945476532,0.053516216576099396
30,,1394,0.9152777791023254,0.9061464071273804,0.011085841804742813,,,,
,0.0019838025385264945,1395,,,,,,,
31,,1439,,,,0.7333333492279053,0.6310594081878662,0.7680529952049255,0.04897388815879822
31,,1439,0.8986111283302307,0.8893996477127075,0.01301924791187048,,,,
,0.0019838025385264945,1440,,,,,,,
32,,1484,,,,0.6777777671813965,0.5997047424316406,0.7182449102401733,0.05056815594434738
32,,1484,0.8958333134651184,0.8940485715866089,0.013034090399742126,,,,
,0.0019838025385264945,1485,,,,,,,
33,,1529,,,,0.7333333492279053,0.6267172694206238,0.7693166732788086,0.049420107156038284
33,,1529,0.9166666865348816,0.9144394397735596,0.011087629944086075,,,,
,0.0009919012692632472,1530,,,,,,,
34,,1574,,,,0.75,0.6462650299072266,0.7815378308296204,0.05196581780910492
34,,1574,0.8847222328186035,0.8788259029388428,0.011084787547588348,,,,
,0.0009919012692632472,1575,,,,,,,
35,,1619,,,,0.7277777791023254,0.6273861527442932,0.7633371353149414,0.052174393087625504
35,,1619,0.9166666865348816,0.912895143032074,0.010393213480710983,,,,
,0.0009919012692632472,1620,,,,,,,
36,,1664,,,,0.7333333492279053,0.6345196962356567,0.7683876752853394,0.05724572762846947
36,,1664,0.8972222208976746,0.8972594738006592,0.010195436887443066,,,,
,0.0009919012692632472,1665,,,,,,,
37,,1709,,,,0.6833333373069763,0.5989090800285339,0.7242913246154785,0.05675993859767914
37,,1709,0.9027777910232544,0.8978325128555298,0.011193053796887398,,,,
,0.0009919012692632472,1710,,,,,,,
38,,1754,,,,0.7222222089767456,0.6195305585861206,0.759581446647644,0.05257274955511093
38,,1754,0.8999999761581421,0.8951714634895325,0.010290877893567085,,,,
,0.0009919012692632472,1755,,,,,,,
39,,1799,,,,0.7444444298744202,0.6385129690170288,0.77739417552948,0.053419578820466995
39,,1799,0.9027777910232544,0.9014945030212402,0.011822855100035667,,,,
,0.0004959506346316236,1800,,,,,,,
40,,1844,,,,0.7055555582046509,0.6171892881393433,0.7433776259422302,0.050748612731695175
40,,1844,0.8833333253860474,0.8828336000442505,0.011596312746405602,,,,
,0.0004959506346316236,1845,,,,,,,
41,,1889,,,,0.7055555582046509,0.6086095571517944,0.745819628238678,0.054277487099170685
41,,1889,0.8999999761581421,0.8951475024223328,0.011204186826944351,,,,
